,lat,lon,country,rating,wait,distance_from_spot,text,country_group,original_lat,original_lon,feature,proximity,road_delete,road_distance,road_segment,geometry
923,49.9568734266853,11.6052800416946,DE,5.0,,,"after standing at the two gasstations southwest from here for to long, i went here and instantly got a lift

―Anonymous, March 2011

Love this spot...very good to get to the south...

―Timsen (Hitchwiki), March 2013

Very good for direction Nürnberg. There is enough room to stop and traffic is very slow.

―Anonymous",DE,49.9568734266853,11.6052800416946,,False,False,False,False,POINT (11.6052800416946 49.9568734266853)
2628,54.054869595569514,13.786520004273745,DE,5.0,,,,DE,54.054869595569514,13.786520004273745,,False,False,False,False,POINT (13.786520004273745 54.054869595569514)
353,48.3362831354145,11.6112613677979,DE,5.0,12.0,,"This Raststaette is only useful for getting northbound rides.

―Prino (Hitchwiki), February 2011

it`s realy got for getting to direction nürnberg. much harder to regensburg

―Anonymous, May 2011

I had a different experience. Waited about 30mins and then got a ride towards Regensburg instead of Nurnberg where I was going with my panel.

―Anonymous, March 2012

perfect spot for hiking nord. you can get there either by foot from eching or you take the bus from eching to fürholzen (but the bus is very unfrequent).

―Schworze (Hitchwiki), April 2012

good place, got there by hitchhiking to Günzenhausen from Karl-Käsmeier-Straße which is close to S-Bahn station ""Eching""


―Pablo.gelato (Hitchwiki), September 2012

a bit difficult to get there on a sunday (there is no bus to fürholzen from eching on the weekends). We started to walk to the gas station and a woman took us to the gas station. It's very big and a lot of people stopped for us but we wanted to get a ride for a long distance direction frankfurt after the oktoberfest but the maximum that we got was to nurmberg.

―Gustavobretz (Hitchwiki), October 2013

A bit difficult to get there (I personally walked 6 km or more from Eching, asking people on the way for directions), but a perfect place with lots of traffic towards Nurnberg, Regensburg and even Prague. Waited for 20 mins and then this former-punk Czech guy with a van stopped for me.

―Tomasmarc (Hitchwiki), July 2014

We were heading towards Czech Republic - got a ride in 10min - asked just the second car...

―Thejourneyramino (Hitchwiki), July 2014

august 2014; we were heading to Berlin and waited 20 min; losts of cars heading towards the North or North West.

―Anonymous, September 2014

A lot of cars from Denmark, Netherlands and northern Germany here.

―Martinsltopf (Hitchwiki), August 2015

10 minutes to Regensburg.

―Anonymous, August 2016

Under construction at the time (January 2017). See http://maps.rast.de/?location=cTVnehLvJ1bt9lkjTlpQ5vqboE8 for details.

―Anonymous, January 2017

You can go to ""Fürholzen"" by bus and than walk out of the town to the north in direction ""Hetzenhausen"". After you left the town you will soon see the oil station on the left side. Perfect Place!

―Anonymous",DE,48.3362831354145,11.6112613677979,,False,False,False,False,POINT (11.6112613677979 48.3362831354145)
1681,51.4681247039979,7.59702444076538,DE,5.0,24.0,,"I waited 25 min for a car changing on the A2 to Hanover. I think there are more cars continuing on the A1 to Bremen.

―Kolodez (Hitchwiki), September 2013

Have a different experience: Needed to go to Münster, but first I got ride offers to Magdeburg, Hannover, Soest etc. If you need to hitch down the A2 the spot is perfect!

―Koendev (Hitchwiki), October 2013

It's a very good spot if you are going in direction of Hamburg.

―Paczix (Hitchwiki), October 2013

First car I asked took me to Hamburg! 

―Anonymous, December 2013

The first person I asked took me to Kassel!


―ManuelW (Hitchwiki), March 2014

many many cars going to hamburg/hannover but almost nobody going direction Berlin. Took me 1 hour to find 2 rides at the same time (for me and to my friends, 4 in total) to go to berlin.

―Gustavobretz (Hitchwiki), April 2014

Once again, ride offers to Hannover, Kassel, etc. before I found my ride direction Bremen. Small warning: I was standing at the end of the station and police stopped telling me I can't stand there. I think it's bullshit since he didn't reply to my question if it's illegal. Still be careful ;)

―Koendev (Hitchwiki), May 2014

We stopped there on our way from Paris to Berlin and got a car directly to Berlin after 45 minutes of waiting. The traffic was quite intense, a great stop and not hard to reach with transportation.

―RuslanShchuchkin (Hitchwiki), October 2014

Please just note: To get to the gas station you have to cross (illegaly) a field. On rainy days (so was mine) you may look dirty and full of mud. Well, I had to change my clothes, otherwise nobody would have taken me :D

―Anonymous, December 2014

Why cross a field, when there´s a road to each side of the service-area? I saw also someone crossing the motorway by foot to go on the other side but there´s a tunnel a little bit south which you can easy reach by foot.

―Anonymous, March 2015

Good place when heading to Bremen (A1) or Hannover (A2).
To get there from Schwerte train station, take bus no. R50 to \""Lichtendorf Poetschke\"". From there you can already see the service area.

―Anonymous",DE,51.4681247039979,7.59702444076538,,False,False,False,False,POINT (7.59702444076538 51.4681247039979)
1682,51.46909071038747,11.993645668030899,DE,5.0,,,"Very good spot to hitchhike East to Leipzig or to the freeway entrance ramp of A9 (North and South). There are lots of cars and they can easily stop at the bus station and pick you up. You can walk there in 5-10 min from the main station. 

―Anonymous, August 2014",DE,51.46909071038747,11.993645668030899,,False,False,False,False,POINT (11.993645668030899 51.46909071038747)
2135,52.320689734746885,14.517389774319813,DE,5.0,10.0,,"Lots of space for cars to pull over, we stood just after the start of the turn with a Berlin sign. Police drove by, so its okay. We got a ride to Berlin after 10 minutes.

―Anonymous, July 2016",DE,52.320689734746885,14.517389774319813,,False,False,False,False,POINT (14.517389774319813 52.320689734746885)
1377,50.978328172856905,14.784516334533437,DE,5.0,,,,DE,50.978328172856905,14.784516334533437,,False,False,False,False,POINT (14.784516334533437 50.978328172856905)
1469,51.0999934090384,13.7359946966171,DE,5.0,26.0,,"Quite a nice spot for going north or east. There is a bus stop where drivers can pull over safely. Waited 15 min 

―CuleXus (Hitchwiki), April 2011

Sehr guter Spot! Bin oft von Haltestelle Hellerberge nach Berlin gefahren und habe meist nicht länger als 30 Minuten gebraucht.

―Dynamo (Hitchwiki), July 2012

we (female-male) waited for 45 minutes to get a lift to görlitz/poland. i think its smarter to get off the bus a few stations earlier and ask people directly at the gas stations, that are also at thies road

―DerSchnecke (Hitchwiki), September 2012

To Berlin is this a very good place... did it three times and always got a lift

―Anonymous, March 2013

Best place for going to the direction of Berlin!


―Anonymous, July 2013

February, was cold. Standing just like that. You have no one to ask, but just standing. I got a ride to Bautzen (on the way to Wroclaw) fast. In 15min someone stopped. But I still would consider hiking from the shell station (more back in the city) better.
Regards, Lukas

―Anonymous, February 2014

1 hour 20 min waiting in the evening time 20.00-21.20 for a lone female. 

―Onioncat (Hitchwiki), July 2014

i (female) went in july, friday morning around 9 or 10 to poland. had a ""görlitz""-sign and waited for 1 hour til someone stopped and brought me to a big gas station.
still a very good spot. maybe it's better to have a sign saying only ""east""?

―Anonymous, August 2014

Good spot. Got a sign ""A4 Poland"" and got a ride to the german-polish border within 10 minutes.

―LaZubi (Hitchwiki), March 2015

I recommend this spot. Cars are going slowly because of lights and the traffic is huge. Easy way to get into motorway. For a couple 5min

―Tutus (Hitchwiki), May 2016

To Leipzig, was Easy, cause people can stop at bus stop....5-10 min waiting..


―Anonymous, August 2018

bus 81 stop Hellerberge - good heading for Berlin or Görlitz

―Anonymous",DE,51.0999934090384,13.7359946966171,,False,False,False,False,POINT (13.7359946966171 51.0999934090384)
1468,51.09970395250348,13.715173244474467,DE,5.0,,,"To get out of Dresden in direction to Berlin, you should definitely try this spot. You need to take a train from Dresden-Neustadt to Dresden-Trachau and to walk for 15 minutes (streets An der Durren Heide and Heulander Strase). There is a traffic light and cars come in waves. They can easily see you and it's easy to make eye contact with drivers. We got  a ride after 10 minutes.

―Anonymous, April 2015",DE,51.09970395250348,13.715173244474467,,False,False,False,False,POINT (13.715173244474467 51.09970395250348)
2246,52.47011602147034,13.464654922486535,DE,5.0,,,,DE,52.47011602147034,13.464654922486535,,False,False,False,False,POINT (13.464654922486535 52.47011602147034)
