,lat,lon,country,rating,wait,distance_from_spot,text,country_group,original_lat,original_lon,feature,proximity,road_delete,road_distance,road_segment,geometry
131,51.1943523951369,12.9860544204712,DE,5.0,,,"This is not true. The last rest area before Leizpig is the resting place Muldental (with a patrolstation and a fast food restaurant).

―Pete (Hitchwiki), March 2012

Last rest area before Leipzig and Halle, so the place to change cars if your driver goes to those cities.

All new and shiny now (2010), so the second marker talking about closure is obsolete should be removed/updated. Ask people, took us 3min, lots of license plates from Hanover area there.

―Anonymous",DE,51.1943523951369,12.9860544204712,,False,False,False,False,POINT (12.9860544204712 51.1943523951369)
38,50.894605294526,12.948082923657,DE,5.0,3.0,54.51400220491294,"The gas station is called ""Auerswalder Blick""

―ZulZul (Hitchwiki), August 2011

Waited about a minute here, lots of Poles going east

―Anonymous, June 2014

Good place to get a ride to Dresden

―chris8, January 2023",DE,50.894605294526,12.948082923657,,False,False,False,False,POINT (12.948082923657 50.894605294526)
113,51.0999934090384,13.7359946966171,DE,5.0,26.0,,"Quite a nice spot for going north or east. There is a bus stop where drivers can pull over safely. Waited 15 min 

―CuleXus (Hitchwiki), April 2011

Sehr guter Spot! Bin oft von Haltestelle Hellerberge nach Berlin gefahren und habe meist nicht länger als 30 Minuten gebraucht.

―Dynamo (Hitchwiki), July 2012

we (female-male) waited for 45 minutes to get a lift to görlitz/poland. i think its smarter to get off the bus a few stations earlier and ask people directly at the gas stations, that are also at thies road

―DerSchnecke (Hitchwiki), September 2012

To Berlin is this a very good place... did it three times and always got a lift

―Anonymous, March 2013

Best place for going to the direction of Berlin!


―Anonymous, July 2013

February, was cold. Standing just like that. You have no one to ask, but just standing. I got a ride to Bautzen (on the way to Wroclaw) fast. In 15min someone stopped. But I still would consider hiking from the shell station (more back in the city) better.
Regards, Lukas

―Anonymous, February 2014

1 hour 20 min waiting in the evening time 20.00-21.20 for a lone female. 

―Onioncat (Hitchwiki), July 2014

i (female) went in july, friday morning around 9 or 10 to poland. had a ""görlitz""-sign and waited for 1 hour til someone stopped and brought me to a big gas station.
still a very good spot. maybe it's better to have a sign saying only ""east""?

―Anonymous, August 2014

Good spot. Got a sign ""A4 Poland"" and got a ride to the german-polish border within 10 minutes.

―LaZubi (Hitchwiki), March 2015

I recommend this spot. Cars are going slowly because of lights and the traffic is huge. Easy way to get into motorway. For a couple 5min

―Tutus (Hitchwiki), May 2016

To Leipzig, was Easy, cause people can stop at bus stop....5-10 min waiting..


―Anonymous, August 2018

bus 81 stop Hellerberge - good heading for Berlin or Görlitz

―Anonymous",DE,51.0999934090384,13.7359946966171,,False,False,False,False,POINT (13.7359946966171 51.0999934090384)
85,51.062233884824,13.8554978370667,DE,5.0,,,"Best place to hitchhike in direction to Radeberg. Never stood more than 5 min.

―Anonymous",DE,51.062233884824,13.8554978370667,,False,False,False,False,POINT (13.8554978370667 51.062233884824)
112,51.09970395250348,13.715173244474467,DE,5.0,,,"To get out of Dresden in direction to Berlin, you should definitely try this spot. You need to take a train from Dresden-Neustadt to Dresden-Trachau and to walk for 15 minutes (streets An der Durren Heide and Heulander Strase). There is a traffic light and cars come in waves. They can easily see you and it's easy to make eye contact with drivers. We got  a ride after 10 minutes.

―Anonymous, April 2015",DE,51.09970395250348,13.715173244474467,,False,False,False,False,POINT (13.715173244474467 51.09970395250348)
44,50.917039928004186,13.351422786712014,DE,5.0,,,,DE,50.917039928004186,13.351422786712014,,False,False,False,False,POINT (13.351422786712014 50.917039928004186)
108,51.08544045485862,13.691762924194595,DE,5.0,,,"Ask people at McDonnalds. It´s a common meeting point for sharing rides (e.g. Blablacar etc). I was waiting 5 min to get a ride to the first service station on the motorway to Chemnitz and 10 min for a ride to Leipzig/Kassel

―Anonymous, August 2015",DE,51.08544045485862,13.691762924194595,,False,False,False,False,POINT (13.691762924194595 51.08544045485862)
46,50.92234255548056,14.13840436935314,DE,5.0,,,,DE,50.92234255548056,14.13840436935314,,False,False,False,False,POINT (14.13840436935314 50.92234255548056)
47,50.92598099869994,13.333355426789257,DE,5.0,11.0,,"Just behind the Campus of the University. People see you at the traffic light. Not much place to stop, but some driveways, for those who don't want to stop at the road.

―Anonymous, June 2015",DE,50.92598099869994,13.333355426789257,,False,False,False,False,POINT (13.333355426789257 50.92598099869994)
53,50.978328172856905,14.784516334533437,DE,5.0,,,,DE,50.978328172856905,14.784516334533437,,False,False,False,False,POINT (14.784516334533437 50.978328172856905)
55,50.984526030164,12.997626235517,DE,5.0,15.0,,"Cars come slowly around the corner. Quickly got a lift towards the A4 to Dresden every of the four times I tried.

―Anonymous, February 2011",DE,50.984526030164,12.997626235517,,False,False,False,False,POINT (12.997626235517 50.984526030164)
99,51.0797458759402,13.7395338714123,DE,5.0,30.0,,"Also easy to ask at the gas station. Best spot for North/East.

―Anonymous, November 2010

Very good place if you want to go north,Berlin etc.

―Anonymous, December 2010


Waited few houndred meters from the petrol station, the place seemed to be good, but there were two of us and the day was Easter Sunday, probably thats why it took us so long.

―Anonymous, May 2011

Best for Berlin


―Anonymous, June 2011

my fav in dd (i live around the corner)! i hitchhiked very often to berlin from here. i waited from 1 minute (sunny weather) til 30 minute (heavy snowing). i often stand before the shell petrol station, but asking the drivers direcly at the petrol station is also a good idea. it's also a good starting point for going to leipzig, chemnitz and further west and south (bavaria, austria, italy, france, spain). you should ask for the raststätte dresdner tor near wilsdruff. there you can change the car easily.

―Anonymous, June 2011

part 2: a link to the above mentioned raststätte dresdner tor/wilsdruff (to change for leipzig and chemnitz): http://hitchwiki.org/maps/?zoom=12&lat=51.062496853856&lon=13.575142621994

―Anonymous, June 2011

part 2: a link to the above mentioned raststätte dresdner tor/wilsdruff (to change for leipzig and chemnitz): <map lat=""51.061383479751"" lng=""13.581996000365"" zoom=""16"" view=""0"" float=""right"" />

―Anonymous, June 2011

Perfect to go north Berlin or Hamburg via Berlin. If you want to go west direction Chemnitz it's sometimes better to go to the access 78 ""Dresden Altstadt"".

―Anonymous, June 2012

in winter 2012 i waited also one hour or more - surprising. one day it was about 15 degrees celsius under zero (maybe people didn't want to open the door because of the cold). the other day was the day after a huge antifascist demonstration but only local elderly people were around. maybe the berlin antifascists didn't start early enough for my plans (2 or 3 pm)

―Alice d25 (Hitchwiki), July 2012

Waited for 25 minutes in the cold, and got a direct lift to berlin!


―Anonymous, February 2013

waited 10minutes on a sunday... 11 in the morning, got direct lift to berlin

―Anonymous, March 2013

well after waiting some weeks ago 10minutes on sunday... i made a not that good experience yesterday (tuesday) 1:30PM... waited for 2,5hours... my impression: there is much more traffic on working days... i saw also many cars with berlin licence plates... but every car on the wrong lane never had the chance to stop... met some guys who went to petrol station to HH 1h our after me and they already got their ride to berlin before i got my ride with the sign on that spot....


―Anonymous, April 2013

Friday morning starting 9.30 took me 30 minutes. One week later 7.30. I gave up after 2 hours. Way to little traffic going to Berlin in the morning. Try afternoon!

―Anonymous, July 2013

We didn't get a ride at night time from here (two man) but in the morning about 7 o clock some german engineer took us to Berlin. Also we saw two other hitchikers there so it might be good to come early if u want the best spot ;)

―Pietari (Hitchwiki), August 2013

we were waiting 1h until we got a lift to Bautzen for 3 people

―Anonymous, August 2013

Got a ride to Poland in 15 min, just standing a little before the gas station with a sign.

―Anonymous, August 2013

I waited here with sign""B""
only 1 min
I got a hike to Berlin

―Anonymous, March 2014

Great spot, but can get a bit crowded. I waited endlessly behind a scruffy looking character, but he finally gave up and I had a ride in 20 minutes

―Anonymous, June 2014

perfect spot with a sign B i was waiting just 5 minutes

―Anonymous, July 2014

Two Girl at 18:00,a sunday. We have waited 20 minutes with Berlin sign.

―Anonymous, November 2014

Waited for 5 minutes on a Tuesday at 12, direction Berlin

―Anonymous, November 2014

Waited about 20 minutes direction Leipzig. Not the best place to start I suppose, to me it seems I just had luck not to wait longer.

―Jussuf (Hitchwiki), December 2014

2 guys, Friday morning, 25 minutes, to Berlin

Found 2 cardboards with Berlin sign on them, very popular and great spot.

―RazorSK (Hitchwiki), June 2015

The standard hitchhiking spot towards Berlin. There are construction works at the moment but its still easy to get a ride. Waited 15 minutes once (one guy) and 15 seconds another time (couple).

―Kriechstrom (Hitchwiki), July 2016

Direction to Berlin, waited 30+minutes then I moved a bit behind the gastation and on my move a car stopped and asked me where i want to go and driver took me right in front of my hostel in Berlin :) good old pap

―Anonymous, July 2018

Direction to Berlin. Just before Shell gas station. waited for 15 min for the lift for Berlin

―Anonymous",DE,51.0797458759402,13.7395338714123,,False,False,False,False,POINT (13.7395338714123 51.0797458759402)
158,51.33794438578632,12.326422007598875,DE,5.0,,,,DE,51.33794438578632,12.326422007598875,,False,False,False,False,POINT (12.326422007598875 51.33794438578632)
