,lat,lon,country,rating,wait,distance_from_spot,text,country_group,new
1224,50.9619947699178,11.3207674026489,DE,5.0,,,"there is a bus stop. very good spot to start hitchhiking from weimar, usally 15 to 30 minutes, theres also an gas station on the other side of the road to ask people directly. 


―Anonymous",DE,5.0
1921,52.3232683145273,7.32927024364471,DE,5.0,,,"Great spot for hitching towards Schttdorf or the A31: Enough space to stop cars (if grass it not too high), traffic lights in front of you.

―Anonymous",DE,5.0
387,48.512869843559336,9.07960259914402,DE,5.0,9.0,,"By far the best spot to go towards stuttgart. When hitchhiking to Munich I used a sign A8 even though a ride to the airport would have been enough. A lot of people go north on the A8 towards Karlsruhe.

―Anonymous, April 2014

Very easy to go to Stuttgart there, even during the weekend

―Matematik (Hitchwiki), September 2016

For going onto B27 this is quite good. I usually use this to go to Nrtingen, but most cars go direction Stuttgart. With a sign it works.

―Anonymous, August 2012",DE,5.0
386,48.512853412459606,9.073383427107093,DE,5.0,10.0,,"Aral petrol station, easy going to reutlingen short waiting time by shield (busstation next to it) or asking people directly!

―Anonymous, July 2013",DE,5.0
1332,51.15756907137331,6.963749168375143,DE,5.0,22.0,,"Also a good place to go westwards, changing on the next highway cross to A46. Waited 30 Minutes on Sunday around  midday.

―Marcel (Hitchwiki), March 2011

On my map this petrol station seemed smaller, but it's actually quite big :)

―Koendev (Hitchwiki), June 2013

It's better to take bus 741 till 'Südfriedhof' and then walk 3 minutes. I tried unsuccessfully one hour to reach A46 and then A1. But most cars were going direction Nederland.

―Couleurmate (Hitchwiki), August 2014

Going to the Netherlands, I waited 15 minutes, the third dutch number plate took me nearly to utrecht. 

―Anonymous",DE,5.0
1331,51.15651376647752,13.123864173889498,DE,5.0,,,,DE,5.0
380,48.49287651573489,10.0809087753285,DE,5.0,,,"bus stop, good place to get a ride to ulm.
Or, in the other direction, to the A7

―Anonymous, July 2016",DE,5.0
1933,52.330086663458,7.5127393359251,DE,5.0,5.0,,"At end of town, there's a restaurant with sufficient space along the street to stop cars direction Hrstel.

―Anonymous, March 2011",DE,5.0
378,48.485408557707075,9.222316774039545,DE,5.0,,,,DE,5.0
818,49.947771912434824,7.117780547647343,DE,5.0,20.0,,,DE,5.0
376,48.47919120326237,8.274505376815988,DE,5.0,30.0,,"we wait about 30 minutes because there are not much car but good visibility and place to stop


―Jirkosak (Hitchwiki), May 2016

very good spot to stop car to strasburg

―Anonymous, May 2016",DE,5.0
375,48.47267592560822,7.901240340546089,DE,5.0,5.0,,"Do not use this place to go north. Only the ppl coming from L98 can possibly pull over on the parking area.


―Anonymous, September 2017

two parking sites. waited there for 5 minutes to get a ride to freiburg. parking space directly behind traffic lights. 
should be similar for other direction

―Anonymous, June 2014",DE,5.0
1939,52.3362306430391,9.86477851867676,DE,5.0,26.0,,"takes a bit to get out there but reliable take off point

―Anonymous, January 2011

takes a while to get there, but nice point. Walk is through nice nature as well...

―Santa klaus (Hitchwiki), February 2011

Really an excellent spot !

―EggDestroyer (Hitchwiki), September 2011

A lot of people going only to Hildesheim or Göttingen, but in the end got a ride more south.

―Anonymous, January 2012

great spot and sescription.exactly 30 min walking. thank you

―Alexan (Hitchwiki), August 2012

Great for rides south or north on the A7 (Hamburg!), but a bit harder to get onto the A2.

―Koendev (Hitchwiki), December 2012

used this spot 3 times hitching both north and south! great spot!

―Anonymous, November 2018

Great place for going north or south. From the town center, take the tram no. 6 direction Messe/Ost to Kronsberg. Turn left into Wlferoder Strae. When the road turns slightly right, follow the small road straight on. 30 minutes walking.

―Anonymous",DE,5.0
1945,52.338766902000785,9.864653979618005,DE,5.0,20.0,93.98756151708362,"Good spot in my opinion, on the highway and lots of traffic heading south 

―Anonymous, February 2023",DE,5.0
1948,52.340384622114385,10.357167785581971,DE,5.0,7.0,,"We found like 2 min after we arrived at the station a direct ride to Cologne... Very lucky -.-

―KatinkaBu (Hitchwiki), April 2013

A fine Raststatte to hitch for a ride.

―Anonymous",DE,5.0
821,49.9512233603407,11.5598112344742,DE,5.0,11.0,,"Just behind the crossing a bus stop makes it easy for cars to stop and take you.


―Anonymous, November 2013

good for direction kulmbach

―Anonymous",DE,5.0
822,49.95423293176958,10.981620767102823,DE,5.0,,,"This is a good spot to get western from Bamberg. You can go by bus (907) to Drosendorf and walk to this parking lot from there. It took me 1h in total to get here from Bamberg - quite fair I think.

―Anonymous, February 2015",DE,5.0
