,trip,ride,short,long
405,156,1,https://goo.gl/maps/KHVVYLk9Zh12,"https://www.google.com/maps/dir/54.763469,25.080691/54.935537,23.870589/@54.7604884,24.2133912,10z/data=!4m6!4m5!1m1!4e1!1m1!4e1!3e0?hl=en&shorturl=1"
514,162,6,https://goo.gl/maps/T1hzytoX3N22,"https://www.google.com/maps/dir/54.3589914,23.1822141/52.3015858,13.0213019/@53.4176585,15.8157329,7z/data=!4m24!4m23!1m20!3m4!1m2!1d20.257172!2d53.7483332!3s0x471d7fceac1ea77b:0x63f879a034e4862d!3m4!1m2!1d19.5403897!2d54.1015715!3s0x46e2b25b2148c057:0x6bc3a212f78c2d55!3m4!1m2!1d16.6583117!2d53.3723023!3s0x470162482dc1302d:0x8fba958abc940158!3m4!1m2!1d14.6228172!2d53.3782926!3s0x4700a7f3c1a3815b:0xed6df1353198568d!1m0!3e0?hl=en&shorturl=1"
516,162,8,https://goo.gl/maps/2DN7KJ5vmn32,"https://www.google.com/maps/dir/52.2520523,12.3086909/Rasthof+Lehrter+See+Nord,+Lehrte,+Germany/@52.149435,10.5941378,9z/data=!4m9!4m8!1m0!1m5!1m1!1s0x47b0058ca1c6d2c3:0x34883c21066e75c6!2m2!1d9.9954637!2d52.3886797!3e0?hl=en&shorturl=1"
518,162,10,https://goo.gl/maps/9uivGrq7P3A2,"https://www.google.com/maps/dir/51.6324768,7.8767173/Wiesenstra%C3%9Fe+81,+40549+D%C3%BCsseldorf,+Germany/Lidl/51.2009592,5.9898614/50.8457302,4.3689113/@51.2270514,4.951931,8z/data=!4m37!4m36!1m5!3m4!1m2!1d6.6987767!2d51.2231342!3s0x47b8b5cb663b5717:0xa7f1faf87413d56!1m10!1m1!1s0x47b8b5cf16eb998f:0x285c030260c37d4d!2m2!1d6.70827!2d51.22472!3m4!1m2!1d6.7043069!2d51.2300342!3s0x47b8b5d26c1b1727:0x889f5bafc65a6bd7!1m5!1m1!1s0x0:0x8ffc0b682a843654!2m2!1d6.6792405!2d51.2178532!1m10!3m4!1m2!1d4.3787784!2d50.8416972!3s0x47c3c4992d55eabd:0x9c89f35abd6b0e8!3m4!1m2!1d4.3702724!2d50.8436894!3s0x47c3c4833146f769:0x8047d45af296bd79!1m0!3e0?hl=en&shorturl=1"
526,162,18,https://goo.gl/maps/YHHgWuyAMUK2,"https://www.google.com/maps/dir/MOP+Ma%C5%82opole,+Ma%C5%82opole,+Poland/54.3567426,23.181398/@53.4344373,21.1744336,8.33z/data=!4m19!4m18!1m15!1m1!1s0x471ec2d33798adaf:0x9caf7b12dce08893!2m2!1d21.2936343!2d52.4581822!3m4!1m2!1d22.8300948!2d53.9993891!3s0x46e1aa8f31b98e9d:0xd57011972b4c222!3m4!1m2!1d22.9105881!2d54.0461733!3s0x46e101cbe09c73e5:0x5b78e10c57d47bda!1m0!3e0?hl=en&shorturl=1"
528,162,20,https://goo.gl/maps/Ax4tR1j4RnL2,"https://www.google.com/maps/dir/54.9338592,23.9654738/54.6824775,25.2707212/@54.7268703,24.318191,10z/data=!4m14!4m13!1m10!3m4!1m2!1d25.2043978!2d54.6436782!3s0x46dd935e9d5b5231:0xc35bac442525e492!3m4!1m2!1d25.2668057!2d54.6931426!3s0x46dd9407c213ef6b:0xd26fa0c622586b8f!1m0!3e0?hl=en&shorturl=1"
529,163,1,https://goo.gl/maps/Rn5Hft2344D2,"https://www.google.com/maps/dir/54.6684075,25.1126019/54.7750108,24.810397/@54.7171795,24.8982557,12z/data=!4m2!4m1!3e0?hl=en&shorturl=1"
530,163,2,https://goo.gl/maps/wcNhB1cgmpS2,"https://www.google.com/maps/dir/54.7750108,24.810397/54.816489,24.4364733/@54.7813603,24.5267337,11.67z/data=!4m2!4m1!3e0?hl=en&shorturl=1"
531,163,3,https://goo.gl/maps/6u9iZybpR552,"https://www.google.com/maps/dir/54.816489,24.4364733/54.9349774,23.9662069/@54.887732,24.0783425,11.33z/data=!4m2!4m1!3e0?hl=en&shorturl=1"
534,163,6,https://goo.gl/maps/U2m69uTKsg42,"https://www.google.com/maps/dir/MOP+BRWIN%C3%93W,+Poland/MOP+Gnilec,+S%C5%82ubice+County,+Poland/@51.588687,16.4213078,7.67z/data=!4m14!4m13!1m5!1m1!1s0x471949653cdd0af5:0x18a1a52043fabc31!2m2!1d20.6862084!2d52.155226!1m5!1m1!1s0x4707a34051d2a709:0xd4b82a5187bd11ae!2m2!1d14.6509124!2d52.3257086!3e0?hl=en&shorturl=1"
