
{Z-NL  +02 D   +02 DK  +02 S   +02
  1,    1,    1,     3.2,   0.05,   38.4, NL,  V,    NL,       ,  ,  7.47,  7.52, 1980-06-16,  41051.0, q-, De Bilt                                         , exit Amersfoort
  1,    2,    1,   135.0,   1.13,  111.0, NL,  -,    NL,   0.20,  ,  8.12,  9.25,           ,  33268.0, t-, exit Amersfoort                                 , Enschede
  1,    3,    1,    12.0,   0.18,   40.0, NL,  -,    NL,   0.33,  ,  9.58, 10.28,           ,  78048.0, t-, Enschede                                        , Enschede
  1,    3,  ! 1,        ,       ,       ,  ,   !C,    ,        , !, 10.08, 10.20,

  1,    4,    1,    31.0,   0.37,   50.3, D,   -,    *,        ,  , 10.49, 11.33,           ,   1311.0, t-, Enschede                                        , Nordhorn
  1,    4,   1a,    23.0,   0.24,       , D,   -,    NL,   0.21, *,      ,      ,
  1,    4,   1b,     8.0,   0.13,       , D,   -,    D,        , *,      ,      ,
  1,    4,  ! 1,        ,       ,       ,  ,   !B,   NL,       , !, 11.13, 11.20,

  1,    5,    1,    19.0,   0.16,   71.3, D,   -,    D,    0.28,  , 12.01, 12.17,           ,  74721.0, t-, Nordhorn                                        , Lingen
  1,    6,    1,   233.0,   2.00,  116.5, D,   -,    D,    0.27,  , 12.44, 14.58,           ,  69636.0, t-, Lingen                                          , Raststätte Hamburg-Stillhorn Ost
  1,    6,  ! 1,        ,       ,       ,  ,    ,     ,        , !, 13.34, 13.48,

  1,    7,    1,    65.0,   0.45,   86.7, D,   T,    D,    2.04,  , 17.02, 17.47,           , 266923.0, tR, Raststätte Hamburg-Stillhorn Ost               , Lübeck
  1,    8,    1,    60.0,   0.38,   94.7, D,   -,    D,    1.36,  , 19.23, 20.01,           ,  36674.0, t-, Lübeck                                         , Oldenburg
  1,    9,    1,    33.0,   0.17,  116.5, D,   -,    D,    0.05,  , 20.06, 20.23,           ,  54751.0, t-, Oldenburg                                       , exit Stabersdorf
  1,   10,    1,     2.0,   0.02,   60.0, D,   B,    D,    0.27,  , 20.50, 20.52,           ,  88746.0, t-, exit Stabersdorf                                , exit Burg

  1,   11,    1,    45.0,   0.25,  108.0, DK,  -,    *,        ,  , 21.15, 23.30,           ,  34210.0, t-, exit Burg                                       , Guldborg
  1,   11,   1a,     5.0,   0.03,       , DK,  -,    D,    0.23, *,      ,      ,
  1,   11,   1b,    40.0,   0.22,       , DK,  -,    DK,       , *,      ,      ,
  1,   11,  ! 1,        ,       ,       ,  ,   !B,   D,        , !, 21:18, 23.08,

  1,   12,    2,    21.0,   0.18,   70.0, DK,  -,    DK,       ,  ,  9.54, 10.12, 1980-06-17,  91578.0, t-, Guldborg                                        , Vordingborg
  1,   13,    2,    14.0,   0.11,   76.4, DK,  V,    DK,   0.11,  , 10.23, 10.34,           ,    744.0, t-, Vordingborg                                     , Bårse
  1,   14,    2,    81.0,   1.04,   75.9, DK,  -,    DK,   0.17,  , 10.51, 12.00,           ,  14359.0, t-, Bårse                                          , København
  1,   14,  ! 1,        ,       ,       ,  ,    ,     ,        , !, 11.13, 11.18,

