id,wait,Usage
0,30.0,Public
1,20.0,Public
2,13.0,Public
3,5.0,Public
4,5.0,Public
5,59.66666666666666,Public
6,10.0,Public
7,45.0,Public
8,3.5,Public
9,90.0,Public
10,15.0,Public
11,10.0,Public
12,45.0,Public
13,5.0,Public
14,10.0,Public
15,45.0,Public
16,10.0,Public
17,15.0,Public
18,120.0,Public
19,15.0,Public
20,8.0,Public
21,3.0,Public
22,20.0,Public
23,105.0,Public
24,12.5,Public
25,45.0,Public
26,20.0,Public
27,13.0,Public
28,10.0,Public
29,33.0,Public
30,17.0,Public
31,20.0,Public
32,10.0,Public
33,78.0,Public
34,40.0,Public
35,5.0,Public
36,0.0,Public
37,20.0,Public
38,5.0,Public
39,15.0,Public
40,30.0,Public
41,60.0,Public
42,15.0,Public
43,30.0,Public
44,10.0,Public
45,30.0,Public
46,10.0,Public
47,10.0,Public
48,30.0,Public
49,9.0,Public
50,38.0,Public
51,5.0,Public
52,30.0,Public
53,210.0,Public
54,10.0,Public
55,4.0,Public
56,15.0,Public
57,10.0,Public
58,300.0,Public
59,15.0,Public
60,2.0,Public
61,20.0,Public
62,30.0,Public
63,37.5,Public
64,45.0,Public
65,60.0,Public
66,30.0,Public
67,5.0,Public
68,60.0,Public
69,32.5,Public
70,5.0,Public
71,100.0,Public
72,20.0,Public
73,16.5,Public
74,5.0,Public
75,15.0,Public
76,11.666666666666666,Public
77,1440.0,Public
78,5.0,Public
79,30.0,Public
80,30.0,Public
81,5.0,Public
82,15.0,Public
83,60.66666666666666,Public
84,30.0,Public
85,5.0,Public
86,91.0,Public
87,20.0,Public
88,10.0,Public
89,15.0,Public
90,10.0,Public
91,180.0,Public
92,20.0,Public
93,180.0,Public
94,15.0,Public
95,5.0,Public
96,30.0,Public
97,120.0,Public
98,22.0,Public
99,7.0,Public
100,5.0,Public
101,15.0,Public
102,20.0,Public
103,30.0,Public
104,16.5,Public
105,60.0,Public
106,150.0,Public
107,19.0,Public
108,240.0,Public
109,32.0,Public
110,2.0,Public
111,31.666666666666668,Public
112,5.0,Public
113,15.0,Public
114,20.0,Public
115,10.0,Public
116,10.0,Public
117,20.0,Public
118,20.0,Public
119,37.0,Public
120,5.0,Public
121,30.0,Public
122,20.0,Public
123,23.0,Public
124,5.0,Public
125,10.0,Public
126,2.0,Public
127,2.0,Public
128,112.5,Public
129,98.0,Public
130,30.0,Public
131,10.0,Public
132,20.0,Public
133,5.0,Public
134,45.0,Public
135,12.0,Public
136,15.0,Public
137,30.0,Public
138,33.0,Public
139,12.0,Public
140,10.0,Public
141,46.0,Public
142,184.0,Public
143,180.0,Public
144,20.0,Public
145,55.0,Public
146,10.0,Public
147,5.0,Public
148,45.0,Public
149,18.0,Public
150,30.0,Public
151,13.0,Public
152,15.0,Public
153,11.0,Public
154,60.0,Public
155,1.0,Public
156,30.0,Public
157,45.0,Public
158,4.0,Public
159,15.0,Public
160,59.66666666666666,Public
161,20.0,Public
162,5.0,Public
163,45.0,Public
164,20.0,Public
165,10.0,Public
166,30.0,Public
167,15.0,Public
168,7.0,Public
169,25.0,Public
170,240.0,Public
171,27.0,Public
172,20.0,Public
173,8.0,Public
174,5.0,Public
175,90.0,Public
176,5.0,Public
177,180.0,Public
178,1.0,Public
179,5.0,Public
180,20.5,Public
181,18.0,Public
182,5.0,Public
183,120.0,Public
184,23.0,Public
185,36.0,Public
186,5.0,Public
187,10.0,Public
188,60.0,Public
189,150.0,Public
190,20.0,Public
191,35.0,Public
192,20.0,Public
193,15.0,Public
194,18.0,Public
195,60.0,Public
196,12.0,Public
197,61.0,Public
198,44.0,Public
199,23.0,Public
200,30.0,Public
201,6.0,Public
202,31.0,Public
203,13.0,Public
204,20.0,Public
205,120.0,Public
206,5.0,Public
207,5.0,Public
208,13.0,Public
209,10.5,Public
210,15.0,Public
211,8.0,Public
212,2.0,Public
213,5.0,Public
214,30.0,Public
215,5.0,Public
216,60.0,Public
217,120.0,Public
218,90.0,Public
219,23.0,Public
220,30.0,Public
221,30.0,Public
222,15.0,Public
223,60.0,Public
224,10.0,Public
225,60.0,Public
226,5.0,Public
227,38.0,Public
228,5.0,Public
229,8.0,Public
230,15.0,Public
231,60.0,Public
232,126.66666666666669,Public
233,20.0,Public
234,14.0,Public
235,2.0,Public
236,10.0,Public
237,195.0,Public
238,10.0,Public
239,60.0,Public
240,9.0,Public
241,40.0,Public
242,10.0,Public
243,15.0,Public
244,10.0,Public
245,10.0,Public
246,8.0,Public
247,30.0,Public
248,15.0,Public
249,30.0,Public
250,10.0,Public
251,15.0,Public
252,1.0,Public
253,35.0,Public
254,20.0,Public
255,30.0,Public
256,30.0,Public
257,18.0,Public
258,5.0,Public
259,20.0,Public
260,60.0,Public
261,9.0,Public
262,10.666666666666666,Public
263,28.0,Public
264,30.0,Public
265,17.0,Public
266,10.0,Public
267,2.0,Public
268,10.0,Public
269,25.0,Public
270,36.0,Public
271,15.0,Public
272,2.0,Public
273,10.0,Public
274,30.0,Public
275,30.0,Public
276,5.0,Public
277,66.0,Public
278,20.0,Public
279,5.0,Public
280,92.0,Public
281,10.0,Public
282,10.0,Public
283,15.0,Public
284,7.0,Public
285,30.0,Public
286,5.0,Public
287,10.0,Public
288,124.0,Public
289,10.0,Public
290,48.0,Public
291,55.0,Public
292,20.0,Public
293,20.0,Public
294,80.66666666666667,Public
295,15.0,Public
296,5.0,Public
297,30.0,Public
298,15.0,Public
299,10.0,Public
300,90.0,Public
301,63.0,Public
302,15.0,Public
303,25.0,Public
304,40.0,Public
305,15.0,Public
306,10.0,Public
307,20.0,Public
308,5.0,Public
309,5.0,Public
310,19.0,Public
311,60.0,Public
312,5.0,Public
313,10.0,Public
314,32.0,Public
315,38.0,Public
316,13.0,Public
317,14.0,Public
318,5.0,Public
319,30.0,Public
320,20.0,Public
321,15.0,Public
322,10.0,Public
323,30.0,Public
324,51.0,Public
325,10.0,Public
326,25.5,Public
327,45.0,Public
328,10.0,Public
329,60.0,Public
330,240.0,Public
331,14.0,Public
332,10.0,Public
333,10.0,Public
334,5.0,Public
335,15.0,Public
336,240.0,Public
337,26.0,Public
338,15.0,Public
339,80.0,Public
340,30.0,Public
341,20.0,Public
342,30.0,Public
343,240.0,Public
344,12.0,Public
345,15.0,Public
346,15.0,Public
347,10.0,Public
348,45.0,Public
349,387.0,Public
350,45.0,Public
351,70.0,Public
352,180.0,Public
353,1.0,Public
354,7.0,Public
355,5.0,Public
356,1.0,Public
357,45.0,Public
358,15.0,Public
359,10.0,Public
360,10.0,Public
361,20.0,Public
362,45.0,Public
363,30.0,Public
364,30.0,Public
365,63.0,Public
366,7.5,Public
367,9.0,Public
368,20.0,Public
369,30.0,Public
370,15.0,Public
371,18.0,Public
372,15.0,Public
373,5.0,Public
374,18.0,Public
375,41.0,Public
376,45.0,Public
377,70.0,Public
378,45.0,Public
379,45.0,Public
380,48.0,Public
381,20.0,Public
382,15.0,Public
383,15.0,Public
384,35.0,Public
385,33.0,Public
386,80.0,Public
387,20.0,Public
388,20.0,Public
389,15.0,Public
390,15.0,Public
391,45.0,Public
392,15.0,Public
393,180.0,Public
394,39.0,Public
395,5.0,Public
396,20.0,Public
397,61.0,Public
398,30.0,Public
399,10.0,Public
400,180.0,Public
401,5.0,Public
402,30.0,Public
403,20.0,Public
404,10.0,Public
405,30.0,Public
406,30.0,Public
407,75.0,Public
408,120.0,Public
409,20.0,Public
410,5.0,Public
411,25.0,Public
412,20.0,Public
413,300.0,Public
414,15.0,Public
415,60.0,Public
416,10.0,Public
417,20.0,Public
418,5.0,Public
419,45.0,Public
420,31.0,Public
421,10.0,Public
422,20.0,Public
423,82.5,Public
424,15.0,Public
425,13.0,Public
426,5.0,Public
427,10.0,Public
428,30.0,Public
429,20.0,Public
430,76.0,Public
431,20.0,Public
432,5.0,Public
433,6.0,Public
434,120.0,Public
435,13.75,Public
436,10.0,Public
437,20.0,Public
438,150.0,Public
439,186.0,Public
440,33.0,Public
441,30.0,Public
442,5.0,Public
443,180.0,Public
444,20.0,Public
445,45.0,Public
446,20.0,Public
447,85.0,Public
448,43.0,Public
449,30.0,Public
450,60.0,Public
451,120.0,Public
452,10.0,Public
453,5.0,Public
454,1.0,Public
455,17.0,Public
456,10.0,Public
457,10.0,Public
458,32.0,Public
459,10.0,Public
460,10.0,Public
461,7.0,Public
462,3.0,Public
463,45.0,Public
464,5.0,Public
465,15.0,Public
466,20.0,Public
467,5.0,Public
468,60.0,Public
469,10.0,Public
470,30.0,Public
471,240.0,Public
472,10.0,Public
473,5.0,Public
474,52.5,Public
475,35.0,Public
476,23.0,Public
477,7.0,Public
478,10.0,Public
479,67.0,Public
480,30.0,Public
481,10.0,Public
482,60.0,Public
483,30.0,Public
484,25.0,Public
485,68.0,Public
486,13.0,Public
487,12.0,Public
488,60.0,Public
489,20.0,Public
490,28.0,Public
491,23.0,Public
492,87.5,Public
493,47.0,Public
494,190.0,Public
495,10.0,Public
496,68.0,Public
497,10.0,Public
498,10.0,Public
499,30.0,Public
500,30.0,Public
501,15.0,Public
502,10.0,Public
503,5.0,Public
504,1.0,Public
505,109.0,Public
506,31.0,Public
507,15.0,Public
508,6.0,Public
509,10.0,Public
510,10.0,Public
511,30.0,Public
512,3.0,Public
513,180.0,Public
514,10.0,Public
515,10.0,Public
516,10.0,Public
517,20.0,Public
518,20.0,Public
519,20.0,Public
520,120.0,Public
521,10.0,Public
522,30.0,Public
523,5.0,Public
524,5.0,Public
525,13.0,Public
526,120.0,Public
527,20.0,Public
528,13.0,Public
529,120.0,Public
530,25.0,Public
531,60.0,Public
532,20.0,Public
533,15.0,Public
534,1.0,Public
535,60.0,Public
536,10.0,Public
537,21.0,Public
538,30.0,Public
539,5.0,Public
540,30.0,Public
541,18.0,Public
542,77.5,Public
543,20.0,Public
544,180.0,Public
545,20.0,Public
546,5.0,Public
547,5.0,Public
548,32.5,Public
549,28.0,Public
550,63.333333333333336,Public
551,52.0,Public
552,10.0,Public
553,60.0,Public
554,15.0,Public
555,20.0,Public
556,90.0,Public
557,15.0,Public
558,5.0,Public
559,45.0,Public
560,5.0,Public
561,10.0,Public
562,30.0,Public
563,20.0,Public
564,23.0,Public
565,30.0,Public
566,13.5,Public
567,15.0,Public
568,25.0,Public
569,45.0,Public
570,13.333333333333334,Public
571,30.0,Public
572,8.0,Public
573,10.0,Public
574,10.0,Public
575,45.0,Public
576,30.0,Public
577,30.0,Public
578,45.0,Public
579,11.0,Public
580,45.0,Public
581,5.0,Public
582,38.0,Public
583,41.0,Public
584,30.0,Public
585,10.0,Public
586,30.0,Public
587,30.0,Public
588,20.0,Public
589,5.0,Public
590,30.0,Public
591,20.0,Public
592,100.0,Public
593,25.0,Public
594,10.0,Public
595,15.0,Public
596,23.666666666666668,Public
597,13.5,Public
598,10.0,Public
599,5.0,Public
600,42.0,Public
601,5.0,Public
602,3.0,Public
603,60.0,Public
604,60.0,Public
605,30.0,Public
606,10.0,Public
607,33.0,Public
608,10.0,Public
609,30.0,Public
610,5.0,Public
611,12.0,Public
612,30.0,Public
613,8.5,Public
614,8.0,Public
615,30.0,Public
616,5.0,Public
617,15.0,Public
618,8.333333333333334,Public
619,5.0,Public
620,1.0,Public
621,250.0,Public
622,3.0,Public
623,15.0,Public
624,180.0,Public
625,15.0,Public
626,5.0,Public
627,60.0,Public
628,0.0,Public
629,105.0,Public
630,20.0,Public
631,90.0,Public
632,30.0,Public
633,53.0,Public
634,40.0,Public
635,68.0,Public
636,20.0,Public
637,2.0,Public
638,45.0,Public
639,15.0,Public
640,19.0,Public
641,15.0,Public
642,10.0,Public
643,30.0,Public
644,30.0,Public
645,10.0,Public
646,30.0,Public
647,388.0,Public
648,60.0,Public
649,5.0,Public
650,10.0,Public
651,150.0,Public
652,80.0,Public
653,90.0,Public
654,1.0,Public
655,5.0,Public
656,15.0,Public
657,20.0,Public
658,45.0,Public
659,68.0,Public
660,15.0,Public
661,18.0,Public
662,45.0,Public
663,10.0,Public
664,11.0,Public
665,30.0,Public
666,13.0,Public
667,20.0,Public
668,10.0,Public
669,20.0,Public
670,5.0,Public
671,5.0,Public
672,1.0,Public
673,15.0,Public
674,30.0,Public
675,3.0,Public
676,45.0,Public
677,75.0,Public
678,45.0,Public
679,10.0,Public
680,254.5,Public
681,14.0,Public
682,18.0,Public
683,10.0,Public
684,5.0,Public
685,111.0,Public
686,5.0,Public
687,180.0,Public
688,17.0,Public
689,120.0,Public
690,12.5,Public
691,90.0,Public
692,13.0,Public
693,5.0,Public
694,8.0,Public
695,101.0,Public
696,12.0,Public
697,15.0,Public
698,45.0,Public
699,10.0,Public
700,15.0,Public
701,24.0,Public
702,20.0,Public
703,30.33333333333333,Public
704,40.0,Public
705,20.0,Public
706,5.0,Public
707,12.0,Public
708,28.0,Public
709,45.0,Public
710,5.0,Public
711,75.0,Public
712,10.0,Public
713,30.0,Public
714,14.0,Public
715,5.0,Public
716,28.0,Public
717,20.0,Public
718,21.5,Public
719,10.0,Public
720,5.0,Public
721,15.0,Public
722,16.0,Public
723,13.0,Public
724,5.0,Public
725,77.33333333333333,Public
726,30.0,Public
727,25.0,Public
728,0.0,Public
729,33.0,Public
730,120.0,Public
731,5.0,Public
732,101.0,Public
733,20.0,Public
734,30.0,Public
735,30.0,Public
736,20.0,Public
737,30.0,Public
738,15.0,Public
739,15.0,Public
740,50.0,Public
741,1.0,Public
742,20.0,Public
743,3.0,Public
744,60.0,Public
745,10.0,Public
746,10.0,Public
747,53.0,Public
748,33.333333333333336,Public
749,13.0,Public
750,10.0,Public
751,2.0,Public
752,5.0,Public
753,5.0,Public
754,10.0,Public
755,78.0,Public
756,3.0,Public
757,60.0,Public
758,37.0,Public
759,5.0,Public
760,20.0,Public
761,2.0,Public
762,20.0,Public
763,85.0,Public
764,5.0,Public
765,23.0,Public
766,2.0,Public
767,20.0,Public
768,108.0,Public
769,27.0,Public
770,45.0,Public
771,37.0,Public
772,1.0,Public
773,120.0,Public
774,17.0,Public
775,180.0,Public
776,5.0,Public
777,18.0,Public
778,4.0,Public
779,20.0,Public
780,78.0,Public
781,66.0,Public
782,5.0,Public
783,30.0,Public
784,20.0,Public
785,23.0,Public
786,240.0,Public
787,13.5,Public
788,18.0,Public
789,15.0,Public
790,15.0,Public
791,120.0,Public
792,65.0,Public
793,15.0,Public
794,30.0,Public
795,60.0,Public
796,4.0,Public
797,5.0,Public
798,13.0,Public
799,13.0,Public
800,60.0,Public
801,1.0,Public
802,8.0,Public
803,15.0,Public
804,41.0,Public
805,23.0,Public
806,12.0,Public
807,20.0,Public
808,34.0,Public
809,20.0,Public
810,5.0,Public
811,15.0,Public
812,120.0,Public
813,60.0,Public
814,15.0,Public
815,10.0,Public
816,42.66666666666666,Public
817,6.0,Public
818,30.0,Public
819,30.0,Public
820,7.0,Public
821,60.0,Public
822,10.0,Public
823,30.0,Public
824,15.0,Public
825,20.0,Public
826,15.0,Public
827,20.0,Public
828,30.0,Public
829,5.0,Public
830,24.0,Public
831,15.0,Public
832,180.0,Public
833,20.0,Public
834,129.0,Public
835,10.0,Public
836,30.0,Public
837,10.0,Public
838,20.0,Public
839,35.0,Public
840,15.0,Public
841,10.0,Public
842,28.0,Public
843,25.0,Public
844,30.0,Public
845,45.0,Public
846,45.0,Public
847,16.5,Public
848,45.0,Public
849,102.5,Public
850,13.0,Public
851,30.0,Public
852,6.0,Public
853,20.0,Public
854,30.0,Public
855,60.0,Public
856,20.0,Public
857,150.0,Public
858,30.0,Public
859,35.5,Public
860,30.0,Public
861,15.0,Public
862,2.0,Public
863,18.0,Public
864,90.0,Public
865,29.0,Public
866,130.0,Public
867,5.0,Public
868,45.0,Public
869,20.0,Public
870,1.0,Public
871,5.0,Public
872,30.0,Public
873,30.0,Public
874,30.0,Public
875,60.0,Public
876,120.0,Public
877,15.0,Public
878,50.0,Public
879,3.0,Public
880,34.0,Public
881,10.0,Public
882,20.0,Public
883,30.0,Public
884,120.0,Public
885,3.0,Public
886,10.0,Public
887,10.0,Public
888,45.0,Public
889,30.0,Public
890,120.0,Public
891,5.0,Public
892,30.0,Public
893,8.0,Public
894,60.0,Public
895,30.0,Public
896,60.0,Public
897,15.0,Public
898,25.0,Public
899,15.0,Public
900,15.0,Public
901,150.0,Public
902,8.0,Public
903,15.0,Public
904,58.0,Public
905,40.0,Public
906,20.0,Public
907,60.0,Public
908,28.5,Public
909,9.0,Public
910,72.0,Public
911,120.0,Public
912,15.0,Public
913,1.0,Public
914,8.0,Public
915,20.0,Public
916,5.0,Public
917,43.0,Public
918,5.0,Public
919,8.0,Public
920,10.0,Public
921,22.0,Public
922,20.0,Public
923,20.0,Public
924,23.0,Public
925,127.33333333333331,Public
926,240.0,Public
927,13.0,Public
928,30.0,Public
929,13.0,Public
930,10.0,Public
931,10.0,Public
932,20.0,Public
933,45.0,Public
934,5.0,Public
935,5.0,Public
936,35.0,Public
937,300.0,Public
938,16.666666666666668,Public
939,30.0,Public
940,30.0,Public
941,15.0,Public
942,10.0,Public
943,158.0,Public
944,8.0,Public
945,15.0,Public
946,6.0,Public
947,20.0,Public
948,20.0,Public
949,15.0,Public
950,20.0,Public
951,0.0,Public
952,61.0,Public
953,40.0,Public
954,5.0,Public
955,30.0,Public
956,15.0,Public
957,1.0,Public
958,10.0,Public
959,26.0,Public
960,15.0,Public
961,10.0,Public
962,18.0,Public
963,1.0,Public
964,47.0,Public
965,24.0,Public
966,30.0,Public
967,10.0,Public
968,43.333333333333336,Public
969,10.0,Public
970,30.0,Public
971,45.0,Public
972,90.0,Public
973,3.0,Public
974,10.0,Public
975,58.0,Public
976,15.0,Public
977,33.0,Public
978,20.0,Public
979,15.0,Public
980,20.0,Public
981,100.0,Public
982,53.0,Public
983,30.0,Public
984,17.5,Public
985,50.0,Public
986,27.0,Public
987,2.5,Public
988,10.0,Public
989,1.0,Public
990,30.0,Public
991,16.0,Public
992,20.0,Public
993,25.0,Public
994,7.5,Public
995,33.0,Public
996,20.0,Public
997,30.0,Public
998,30.0,Public
999,25.5,Public
1000,6.0,Public
1001,20.0,Public
1002,8.0,Public
1003,57.0,Public
1004,30.0,Public
1005,9.0,Public
1006,60.0,Public
1007,20.0,Public
1008,5.0,Public
1009,1.0,Public
1010,20.0,Public
1011,30.0,Public
1012,11.0,Public
1013,49.0,Public
1014,5.0,Public
1015,10.0,Public
1016,120.0,Public
1017,1.0,Public
1018,45.0,Public
1019,15.0,Public
1020,10.0,Public
1021,13.0,Public
1022,1.0,Public
1023,10.0,Public
1024,10.0,Public
1025,145.0,Public
1026,915.0,Public
1027,20.0,Public
1028,10.0,Public
1029,45.0,Public
1030,16.0,Public
1031,45.0,Public
1032,6.0,Public
1033,25.0,Public
1034,31.5,Public
