,region,elapsed time
0,europe,02:01
0,europe,02:01
0,africa,00:09
0,middle_africa,00:00
0,middle_africa,00:00
0,middle_africa,00:00
0,middle_africa,00:00
0,middle_africa,00:00
0,artificial,00:00
0,artificial,00:00
0,artificial,00:00
0,artificial,00:00
0,artificial,00:00
0,artificial,00:00
0,artificial,00:00
0,artificial,00:00
0,artificial,00:00
0,artificial,00:00
0,europe,00:43
0,greenland,00:00
0,greenland,00:00
0,greenland,00:00
0,greenland,00:00
0,greenland,00:00
0,greenland,00:00
0,greenland,00:00
0,greenland,00:00
0,greenland,00:01
0,greenland,00:01
0,north_america,00:21
0,world,11:44
0,north_america,03:52
0,north_america,02:05
0,north_america,01:41
0,north_america,01:50
0,north_america,01:36
0,north_america,01:44
0,north_america,01:45
0,north_america,01:54
0,north_america,01:53
0,north_america,02:04
0,north_america,02:09
0,north_america,02:05
0,north_america,03:42
0,artificial,00:00
0,artificial,00:00
0,asia,00:16
0,asia,00:21
0,artificial,00:00
0,artificial,00:00
0,artificial,00:00
0,asia,00:08
0,asia,00:20
0,asia,00:13
0,asia,00:33
0,germany,00:02
0,north_america,03:49
0,south_america,00:17
0,germany,00:01
0,north_america,03:33
0,north_america,03:46
0,north_america,04:05
0,north_america,03:50
0,south_america,00:13
0,europe,04:28
0,asia,02:53
0,africa,01:23
0,australia,00:10
0,north_america,04:35
0,australia,00:08
0,australia,00:09
0,australia,00:08
0,australia,00:08
0,australia,00:07
0,africa,01:15
0,africa,01:18
0,africa,01:21
0,africa,01:16
0,africa,01:22
0,europe,05:40
0,australia,00:09
0,australia,00:08
0,australia,00:08
0,australia,00:08
0,australia,00:09
0,australia,00:08
0,australia,00:08
0,australia,00:07
0,australia,00:08
0,australia,00:08
0,australia,00:07
0,australia,00:08
0,australia,00:08
0,australia,00:07
0,australia,00:07
0,australia,00:08
0,australia,00:08
0,australia,00:08
0,australia,00:08
0,australia,00:09
0,australia,00:08
0,australia,00:07
0,australia,00:08
0,australia,00:07
0,australia,00:08
0,australia,00:08
0,australia,00:09
0,australia,00:08
0,australia,00:09
0,australia,00:08
0,australia,00:08
0,australia,00:09
0,australia,00:07
0,australia,00:08
0,australia,00:09
0,australia,00:08
0,australia,00:08
0,australia,00:09
0,australia,00:08
0,australia,00:08
0,australia,00:08
0,australia,00:08
0,north_america,04:47
0,australia,00:12
0,asia,03:14
0,asia,02:33
0,australia,00:08
0,africa,05:52
0,africa,01:31
0,asia,02:53
0,australia,00:10
0,europe,05:54
0,north_america,04:09
0,south_america,00:16
0,africa,01:22
0,asia,02:28
0,australia,00:10
0,europe,05:14
0,north_america,04:16
0,south_america,00:19
0,africa,01:24
0,africa,01:35
0,africa,01:18
0,asia,03:32
0,australia,00:11
0,africa,01:07
0,africa,01:11
0,africa,01:08
0,africa,01:07
0,africa,01:07
0,europe,05:44
0,africa,01:04
0,africa,01:05
0,africa,01:03
0,north_america,05:40
0,south_america,00:24
0,asia,03:38
0,asia,02:46
0,asia,02:56
0,asia,02:30
0,asia,01:59
0,asia,01:42
0,asia,01:28
0,asia,01:27
0,asia,01:26
0,asia,01:27
0,australia,00:10
0,australia,00:09
0,australia,00:10
0,australia,00:09
0,australia,00:09
0,australia,00:09
0,australia,00:08
0,australia,00:09
0,australia,00:09
0,australia,00:08
0,europe,05:26
0,europe,05:19
0,europe,05:23
0,europe,04:42
0,europe,04:50
0,europe,04:46
0,europe,04:48
0,europe,04:40
0,europe,04:44
0,europe,04:54
0,north_america,04:39
0,north_america,04:00
0,north_america,03:33
0,north_america,03:06
0,north_america,02:46
0,north_america,02:26
0,north_america,02:10
0,north_america,02:38
0,north_america,02:11
0,north_america,02:05
0,south_america,00:17
0,south_america,00:16
0,south_america,00:16
0,south_america,00:16
0,south_america,00:17
0,south_america,00:17
0,south_america,00:18
0,south_america,00:20
0,south_america,00:19
0,south_america,00:19
0,africa,01:16
0,asia,02:45
0,australia,00:09
0,europe,04:19
0,north_america,04:24
0,south_america,00:16
0,artificial,00:00
0,artificial,00:00
0,germany,00:01
0,germany,00:00
0,germany,00:01
0,germany,00:01
0,germany,00:00
0,germany,00:00
0,germany,00:01
0,europe,02:21
0,germany,00:00
0,germany,00:00
0,europe,05:43
0,germany,00:02
0,germany,00:03
0,germany,00:03
0,germany,00:00
0,germany,00:00
0,germany,00:00
0,germany,00:00
0,germany,00:00
0,germany,00:00
0,germany,00:00
0,germany,00:00
0,germany,00:00
0,germany,00:00
0,germany,00:00
0,germany,00:00
0,germany,00:00
0,germany,00:00
0,germany,00:00
0,germany,00:00
0,germany,00:00
0,germany,00:00
0,germany,00:00
0,germany,00:00
0,germany,00:00
0,germany,00:00
0,germany,00:00
0,germany,00:00
0,germany,00:00
0,germany,00:00
0,germany,00:05
0,germany,00:05
0,germany,00:06
